,bpm,description,file_id,license,name,path,username
0,90,"Tenor sax sample recorded at 44.1khz by myself at home. Tempo 90bpm, Length 16 beats (4 bars), Key D minor.  Let me know if you use it!",670,http://creativecommons.org/licenses/by-nc/3.0/,too damn funky 16 beat Dm 90.wav,./audio_corpora_freesound/670_586-hq.ogg,simondsouza
1,123,"make music this beats
processed beat loop",872,http://creativecommons.org/licenses/by/3.0/,beats_123bpm.aif,./audio_corpora_freesound/872_872-hq.ogg,kotatsu
2,90,90 bpm noisy distorted guitar loop recorded with a Parker Fly though a Line 6 pod into Logic.,1376,http://creativecommons.org/licenses/sampling+/1.0/,90_bpm_parker.wav,./audio_corpora_freesound/1376_838-hq.ogg,sleep
3,132,132bpm loop made with reaktor,1886,http://creativecommons.org/licenses/by-nc/3.0/,machine1.aif,./audio_corpora_freesound/1886_176-hq.ogg,virotic
4,126,"126bpm 4/4. 5+ measures with a fill. recorded with a pair of Neumann TLM 103s into protools.

I have more sounds available here:
<a href=""http://sfx.TakomaMedia.com"" rel=""nofollow"">http://sfx.TakomaMedia.com</a>",1979,http://creativecommons.org/licenses/by/3.0/,rbh 126bpm Tabla 06.wav,./audio_corpora_freesound/1979_1112-hq.ogg,RHumphries
5,133,This is loop 1 in a series of 16 variations. The style is pure electro. Created with the Waldorf Attack VSTi within Cubase SX. I used the Analog kit 2 preset to create this 133 bpm loop. It lasts 8 measures in 4/4. Mastered using Elemental and TC plugins within Wavelab.,2615,http://creativecommons.org/licenses/by/3.0/,133 bpm ATTACK LOOP 04 electrified analog kit variation 01 mastered 16 bit.wav,./audio_corpora_freesound/2615_2518-hq.ogg,Jovica
6,150,"Smokin'
harmonica from Austin, Texas. These are all outtakes from a
particularly hard-blowing recording session. All files are in the key
of ""C"" at 150bpm.  These samples are unprocessed with no EQ and no FX and recorded with a large diaphragm condenser mic.  Cool textures for house, trance, D&amp;B, R&amp;B, techno or other dance styles in addition to blues, country, folk, gospel or bluegrass.",2631,http://creativecommons.org/licenses/by-nc/3.0/,Harp1.wav,./audio_corpora_freesound/2631_5150-hq.ogg,TexasMusicForge
7,83,"ambientloop, recorded with real rhodes!!",4048,http://creativecommons.org/licenses/by/3.0/,ambientloop83bpm.wav,./audio_corpora_freesound/4048_7740-hq.ogg,RealRhodesSounds
8,100,layered waves arpegiated @100bpm in c,8139,http://creativecommons.org/licenses/sampling+/1.0/,layerarp100bpm in c.wav,./audio_corpora_freesound/8139_18307-hq.ogg,natmoon
9,100,layered waves arpegiated @100bpm in c,8140,http://creativecommons.org/licenses/sampling+/1.0/,layerdarp 100bpm in c.wav,./audio_corpora_freesound/8140_18307-hq.ogg,natmoon
10,166,"an odd 4-bar loop created using absynth, reduced to 4-bit through a decimator plug-in, rendered in ableton live. 166 bpm.",11672,http://creativecommons.org/licenses/sampling+/1.0/,lo-fi_absynth_loop.wav,./audio_corpora_freesound/11672_32250-hq.ogg,epicaricacy
11,117,"haunting elektro loop meant to fill your pants with crap at 117 bpm.
it don't matter if the monster has returned from the dead or from outer
space, your flesh is about to be ripped from your bones and devoured
while you still breath. composed on the elektron sfx60 making use of parameter locks and lfo modulation. check the other samples labeled 060102 for each individual sound.",13645,http://creativecommons.org/licenses/by/3.0/,060102yohaYohLoop128steps117bpmMulch.wav,./audio_corpora_freesound/13645_195-hq.ogg,starpause
12,120,"Electric guitar open chord plugged directly to the PC. The chord is in the name of the file. If appears ""filter"" then the sound is sync filtered to 120 bpm.Electric guitar open chord plugged directly to the PC. The chord is in the name of the file. If appears ""filter"" then the sound is sync filtered to 120 bpm.",14323,http://creativecommons.org/licenses/by-nc/3.0/,E0_rythmchord_120bpm.wav,./audio_corpora_freesound/14323_40665-hq.ogg,pitx
